,col_name,feature_importance_vals
507,fBodyAccMag-sma(),0.0
508,fBodyAccMag-energy(),0.0
82,tBodyAccJerk-mean()-Z,0.0
81,tBodyAccJerk-mean()-Y,0.0
79,"tGravityAcc-correlation()-Y,Z",0.0
78,"tGravityAcc-correlation()-X,Z",0.0
68,"tGravityAcc-arCoeff()-X,4",0.0
514,fBodyAccMag-kurtosis(),0.0
515,fBodyBodyAccJerkMag-mean(),0.0
67,"tGravityAcc-arCoeff()-X,3",0.0
517,fBodyBodyAccJerkMag-mad(),0.0
59,tGravityAcc-iqr()-X,0.0
520,fBodyBodyAccJerkMag-sma(),0.0
521,fBodyBodyAccJerkMag-energy(),0.0
439,fBodyGyro-energy()-X,0.0
211,tBodyAccMag-arCoeff()3,0.0
206,tBodyAccMag-energy(),0.0
277,fBodyAcc-min()-X,0.0
341,"fBodyAcc-bandsEnergy()-49,64.2",0.0
342,"fBodyAcc-bandsEnergy()-1,24.2",0.0
270,fBodyAcc-std()-Z,0.0
344,fBodyAccJerk-mean()-X,0.0
267,fBodyAcc-mean()-Z,0.0
346,fBodyAccJerk-mean()-Z,0.0
347,fBodyAccJerk-std()-X,0.0
266,fBodyAcc-mean()-Y,0.0
264,tBodyGyroJerkMag-arCoeff()4,0.0
350,fBodyAccJerk-mad()-X,0.0
263,tBodyGyroJerkMag-arCoeff()3,0.0
262,tBodyGyroJerkMag-arCoeff()2,0.0
353,fBodyAccJerk-max()-X,0.0
261,tBodyGyroJerkMag-arCoeff()1,0.0
260,tBodyGyroJerkMag-entropy(),0.0
356,fBodyAccJerk-min()-X,0.0
357,fBodyAccJerk-min()-Y,0.0
258,tBodyGyroJerkMag-energy(),0.0
359,fBodyAccJerk-sma(),0.0
360,fBodyAccJerk-energy()-X,0.0
361,fBodyAccJerk-energy()-Y,0.0
362,fBodyAccJerk-energy()-Z,0.0
257,tBodyGyroJerkMag-sma(),0.0
364,fBodyAccJerk-iqr()-Y,0.0
365,fBodyAccJerk-iqr()-Z,0.0
366,fBodyAccJerk-entropy()-X,0.0
367,fBodyAccJerk-entropy()-Y,0.0
340,"fBodyAcc-bandsEnergy()-33,48.2",0.0
278,fBodyAcc-min()-Y,0.0
255,tBodyGyroJerkMag-max(),0.0
337,"fBodyAcc-bandsEnergy()-57,64.2",0.0
305,"fBodyAcc-bandsEnergy()-25,32",0.0
304,"fBodyAcc-bandsEnergy()-17,24",0.0
301,fBodyAcc-kurtosis()-Z,0.0
313,"fBodyAcc-bandsEnergy()-49,64",0.0
299,fBodyAcc-kurtosis()-Y,0.0
315,"fBodyAcc-bandsEnergy()-25,48",0.0
297,fBodyAcc-kurtosis()-X,0.0
289,fBodyAcc-entropy()-Z,0.0
288,fBodyAcc-entropy()-Y,0.0
319,"fBodyAcc-bandsEnergy()-25,32.1",0.0
320,"fBodyAcc-bandsEnergy()-33,40.1",0.0
321,"fBodyAcc-bandsEnergy()-41,48.1",0.0
322,"fBodyAcc-bandsEnergy()-49,56.1",0.0
323,"fBodyAcc-bandsEnergy()-57,64.1",0.0
287,fBodyAcc-entropy()-X,0.0
325,"fBodyAcc-bandsEnergy()-17,32.1",0.0
326,"fBodyAcc-bandsEnergy()-33,48.1",0.0
285,fBodyAcc-iqr()-Y,0.0
328,"fBodyAcc-bandsEnergy()-1,24.1",0.0
329,"fBodyAcc-bandsEnergy()-25,48.1",0.0
283,fBodyAcc-energy()-Z,0.0
282,fBodyAcc-energy()-Y,0.0
281,fBodyAcc-energy()-X,0.0
333,"fBodyAcc-bandsEnergy()-25,32.2",0.0
279,fBodyAcc-min()-Z,0.0
335,"fBodyAcc-bandsEnergy()-41,48.2",0.0
336,"fBodyAcc-bandsEnergy()-49,56.2",0.0
368,fBodyAccJerk-entropy()-Z,0.0
254,tBodyGyroJerkMag-mad(),0.0
436,fBodyGyro-min()-Y,0.0
406,"fBodyAccJerk-bandsEnergy()-49,64.1",0.0
408,"fBodyAccJerk-bandsEnergy()-25,48.1",0.0
227,tBodyAccJerkMag-std(),0.0
410,"fBodyAccJerk-bandsEnergy()-9,16.2",0.0
226,tBodyAccJerkMag-mean(),0.0
412,"fBodyAccJerk-bandsEnergy()-25,32.2",0.0
413,"fBodyAccJerk-bandsEnergy()-33,40.2",0.0
414,"fBodyAccJerk-bandsEnergy()-41,48.2",0.0
